,agency_index,fiscal_year,base_and_all_options_value
0, SELECTIVE SERVICE SYSTEM,2002,0.0
1, FEDERAL MARITIME COMMISSION,2003,0.0
2, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2001,0.0
3, SMALL BUSINESS ADMINISTRATION,2000,0.0
4, AMERICAN BATTLE MONUMENTS COMMISSION,2000,0.0
5, AMERICAN BATTLE MONUMENTS COMMISSION,2001,0.0
6, AMERICAN BATTLE MONUMENTS COMMISSION,2003,0.0
7, United States Soldiers' and Airmen's Home,2000,0.0
8, United States Soldiers' and Airmen's Home,2002,0.0
9, United States Soldiers' and Airmen's Home,2003,0.0
10, ARMED FORCES RETIREMENT HOME,2000,0.0
11, ARMED FORCES RETIREMENT HOME,2001,0.0
12, ARMED FORCES RETIREMENT HOME,2002,0.0
13, ARMED FORCES RETIREMENT HOME,2003,0.0
14, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2000,0.0
15, FEDERAL MARITIME COMMISSION,2002,0.0
16, FEDERAL TRADE COMMISSION,2003,0.0
17, FEDERAL TRADE COMMISSION,2000,0.0
18, FEDERAL ENERGY REGULATORY COMMISSION,2000,0.0
19, SELECTIVE SERVICE SYSTEM,2000,0.0
20, SELECTIVE SERVICE SYSTEM,2001,0.0
21, NATIONAL ENDOWMENT FOR THE ARTS,2002,0.0
22, FEDERAL COMMUNICATIONS COMMISSION,2001,0.0
23, FEDERAL ELECTION COMMISSION,2001,0.0
24, FEDERAL ELECTION COMMISSION,2002,0.0
25, COMMODITY FUTURES TRADING COMMISSION,2001,0.0
26, NATIONAL TRANSPORTATION SAFETY BOARD,2003,0.0
27, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2000,0.0
28, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2003,0.0
29, NATIONAL MEDIATION BOARD,2000,0.0
30, NATIONAL MEDIATION BOARD,2001,0.0
31, FEDERAL TRADE COMMISSION,2002,0.0
32, NATIONAL MEDIATION BOARD,2002,0.0
33, NATIONAL GALLERY OF ART,2000,0.0
34, NATIONAL GALLERY OF ART,2002,0.0
35, NATIONAL ENDOWMENT FOR THE ARTS,2001,0.0
36, NATIONAL ENDOWMENT FOR THE ARTS,2000,0.0
37, National Foundation on the Arts and the Humanities,2003,0.0
38, National Foundation on the Arts and the Humanities,2000,0.0
39, FEDERAL EMERGENCY MANAGEMENT AGENCY,2003,0.0
40, FEDERAL EMERGENCY MANAGEMENT AGENCY,2002,0.0
41, FEDERAL EMERGENCY MANAGEMENT AGENCY,2001,0.0
42, FEDERAL EMERGENCY MANAGEMENT AGENCY,2000,0.0
43, SECURITIES AND EXCHANGE COMMISSION,2000,0.0
44, NATIONAL ENDOWMENT FOR THE HUMANITIES,2000,0.0
45, NATIONAL ENDOWMENT FOR THE HUMANITIES,2001,0.0
46, NATIONAL ENDOWMENT FOR THE HUMANITIES,2002,0.0
47, NATIONAL SCIENCE FOUNDATION,2001,0.0
48, RAILROAD RETIREMENT BOARD,2000,0.0
49, NATIONAL GALLERY OF ART,2001,0.0
50, RAILROAD RETIREMENT BOARD,2001,0.0
51, CONSUMER PRODUCT SAFETY COMMISSION,2001,0.0
52, CONSUMER PRODUCT SAFETY COMMISSION,2002,0.0
53, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2000,0.0
54, MERIT SYSTEMS PROTECTION BOARD,2000,0.0
55, NATIONAL LABOR RELATIONS BOARD,2000,0.0
56, NATIONAL LABOR RELATIONS BOARD,2001,0.0
57, NATIONAL LABOR RELATIONS BOARD,2002,0.0
58, TENNESSEE VALLEY AUTHORITY,2000,0.0
59, INTERNATIONAL TRADE COMMISSION,2003,0.0
60, INTERNATIONAL TRADE COMMISSION,2002,0.0
61, INTERNATIONAL TRADE COMMISSION,2001,0.0
62, INTERNATIONAL TRADE COMMISSION,2000,0.0
63, FEDERAL MARITIME COMMISSION,2000,0.0
64, FEDERAL MARITIME COMMISSION,2001,0.0
65, RAILROAD RETIREMENT BOARD,2002,0.0
66, NATIONAL MEDIATION BOARD,2003,0.0
67, NATIONAL ENDOWMENT FOR THE ARTS,2003,0.0
68, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2001,0.0
69, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2000,0.0
70, EXECUTIVE OFFICE OF THE PRESIDENT,2002,0.0
71, EXECUTIVE OFFICE OF THE PRESIDENT,2001,0.0
72, BROADCASTING BOARD OF GOVERNORS,2000,0.0
73, EXECUTIVE OFFICE OF THE PRESIDENT,2000,0.0
74, AGENCY FOR INTERNATIONAL DEVELOPMENT,2002,0.0
75, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2001,0.0
76, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2000,0.0
77, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2002,0.0
78, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2001,0.0
79, LIBRARY OF CONGRESS,2006,0.0
80, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2002,0.0
81, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2000,0.0
82, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2003,0.0
83, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2002,0.0
84, LIBRARY OF CONGRESS,2009,0.0
85, FEDERAL ELECTION COMMISSION,2003,148.32
86, COMMISSION ON CIVIL RIGHTS,2000,374.66
87, CONSUMER PRODUCT SAFETY COMMISSION,2000,627.0
88, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2001,800.0
89, COMMISSION ON CIVIL RIGHTS,2001,1000.0
90, BROADCASTING BOARD OF GOVERNORS,2001,1631.2
91, Pretrial Services Agency - CSOSA,2006,1920.74
92, MERIT SYSTEMS PROTECTION BOARD,2003,2967.0
93, Pretrial Services Agency - CSOSA,2007,6234.84
94, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2000,6922.0
95, NATIONAL TRANSPORTATION SAFETY BOARD,2002,9492.8
96, OFFICE OF PERSONNEL MANAGEMENT,2000,17601.289999999997
97, Pretrial Services Agency - CSOSA,2009,18612.8
98, FEDERAL TRADE COMMISSION,2001,20000.0
99, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2000,20790.0
100, SELECTIVE SERVICE SYSTEM,2004,24490.28
101, RAILROAD RETIREMENT BOARD,2003,24900.0
102, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2001,25000.0
103, PEACE CORPS,2000,26247.0
104, SELECTIVE SERVICE SYSTEM,2003,28896.0
105, NATIONAL CAPITAL PLANNING COMMISSION,2008,31753.359999999997
106, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2004,32570.68
107, SELECTIVE SERVICE SYSTEM,2005,37214.44
108, NATIONAL ENDOWMENT FOR THE HUMANITIES,2003,37437.0
109, COMMODITY FUTURES TRADING COMMISSION,2002,39687.96
110, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2008,43669.0
111, NATIONAL SCIENCE FOUNDATION,2000,44000.0
112, FEDERAL MARITIME COMMISSION,2008,49962.7
113, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2004,50000.0
114, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2002,68118.0
115, AMERICAN BATTLE MONUMENTS COMMISSION,2004,74406.20999999999
116, CONSUMER PRODUCT SAFETY COMMISSION,2003,83200.0
117, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2007,88290.0
118, NATIONAL GALLERY OF ART,2003,89814.0
119, FEDERAL ELECTION COMMISSION,2000,90699.42
120, FEDERAL COMMUNICATIONS COMMISSION,2003,111000.0
121, PEACE CORPS,2001,116541.0
122, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2003,117360.0
123, ELECTION ASSISTANCE COMMISSION,2009,120444.22
124, OFFICE OF SPECIAL COUNSEL,2009,120937.6
125, NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,2004,129363.76
126, FEDERAL HOUSING FINANCE BOARD,2007,145906.1
127, COMMODITY FUTURES TRADING COMMISSION,2003,158100.0
128, NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,2005,167620.06
129, NATIONAL MEDIATION BOARD,2004,176142.44999999998
130, FEDERAL TRADE COMMISSION,2004,199073.5
131, AGENCY FOR INTERNATIONAL DEVELOPMENT,2001,210000.0
132, MERIT SYSTEMS PROTECTION BOARD,2004,242574.23
133, NATIONAL MEDIATION BOARD,2005,255158.40999999997
134, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2000,277147.9
135, AGENCY FOR INTERNATIONAL DEVELOPMENT,2005,277626.67
136, SECURITIES AND EXCHANGE COMMISSION,2002,278886.0
137, AGENCY FOR INTERNATIONAL DEVELOPMENT,2004,291727.0
138, National Foundation on the Arts and the Humanities,2008,298031.51
139, OFFICE OF SPECIAL COUNSEL,2008,311169.29
140, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2005,322584.0
141, OFFICE OF PERSONNEL MANAGEMENT,2002,338189.0
142, INTERNATIONAL TRADE COMMISSION,2008,351061.04000000004
143, NATIONAL MEDIATION BOARD,2006,351456.38
144, NATIONAL LABOR RELATIONS BOARD,2003,357280.0
145, MILLENIUM CHALLENGE CORPORATION,2004,387389.92
146,,2008,387838.88
147, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2006,390522.81000000006
148, NATIONAL MEDIATION BOARD,2008,408805.8600000001
149, FEDERAL COMMUNICATIONS COMMISSION,2000,426466.59
150, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2003,438087.97
151, OFFICE OF SPECIAL COUNSEL,2007,467738.32000000007
152, NATIONAL ENDOWMENT FOR THE ARTS,2008,473982.83999999997
153, NATIONAL ENDOWMENT FOR THE ARTS,2004,481844.76
154, INTERNATIONAL TRADE COMMISSION,2006,515507.52999999997
155, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2005,533522.9299999999
156, SELECTIVE SERVICE SYSTEM,2008,548806.0
157, FEDERAL MARITIME COMMISSION,2004,562179.73
158, MERIT SYSTEMS PROTECTION BOARD,2008,586527.34
159, FEDERAL MARITIME COMMISSION,2005,589360.5200000001
160, NATIONAL CAPITAL PLANNING COMMISSION,2009,623350.8800000001
161, PEACE CORPS,2002,650895.0
162, GOVERNMENT ACCOUNTABILITY OFFICE,2007,663275.0
163, NATIONAL ENDOWMENT FOR THE HUMANITIES,2004,664519.0
164, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2002,673312.66
165, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2007,677121.59
166, National Foundation on the Arts and the Humanities,2006,677418.0
167, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2001,684174.0
168, NATIONAL ENDOWMENT FOR THE ARTS,2007,691043.51
169, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2003,696221.2
170, COMMISSION ON CIVIL RIGHTS,2005,721340.0299999998
171, NATIONAL CAPITAL PLANNING COMMISSION,2007,775306.1600000001
172, FEDERAL MARITIME COMMISSION,2006,792175.35
173, FEDERAL MARITIME COMMISSION,2007,802667.93
174, NATIONAL ENDOWMENT FOR THE ARTS,2005,851645.7399999999
175, SMALL BUSINESS ADMINISTRATION,2002,899892.48
176, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2008,902440.0600000002
177, FEDERAL MARITIME COMMISSION,2009,936375.9999999999
178, PEACE CORPS,2003,936533.9
179, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2004,963772.9
180, FEDERAL HOUSING FINANCE BOARD,2006,969000.8099999999
181, INTERNATIONAL TRADE COMMISSION,2007,976763.35
182, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2008,1032841.57
183, FEDERAL MEDIATION AND CONCILIATION SERVICE,2009,1048891.3599999999
184, EXECUTIVE OFFICE OF THE PRESIDENT,2003,1115251.0
185, NATIONAL TRANSPORTATION SAFETY BOARD,2004,1142273.1400000001
186, NATIONAL MEDIATION BOARD,2007,1218028.1700000002
187, NATIONAL CAPITAL PLANNING COMMISSION,2006,1249073.69
188, NUCLEAR REGULATORY COMMISSION,2001,1257459.1
189, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2005,1325071.4500000002
190, NATIONAL MEDIATION BOARD,2009,1359032.89
191, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2006,1373841.0399999998
192, FEDERAL ENERGY REGULATORY COMMISSION,2003,1388630.3
193, National Foundation on the Arts and the Humanities,2007,1463475.06
194, FEDERAL ENERGY REGULATORY COMMISSION,2002,1479083.0
195, FEDERAL ELECTION COMMISSION,2008,1511766.8099999998
196, NATIONAL ENDOWMENT FOR THE ARTS,2009,1618237.2899999998
197, RAILROAD RETIREMENT BOARD,2008,1703191.29
198, SMALL BUSINESS ADMINISTRATION,2003,1754829.37
199, NATIONAL ENDOWMENT FOR THE HUMANITIES,2005,1815789.0
200, National Foundation on the Arts and the Humanities,2009,1859757.03
201, MERIT SYSTEMS PROTECTION BOARD,2005,1907685.7
202, COMMISSION ON CIVIL RIGHTS,2004,2011285.7399999998
203, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2002,2084919.88
204, COMMISSION ON CIVIL RIGHTS,2007,2088696.13
205, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2005,2107949.96
206, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2009,2120496.7099999995
207, FEDERAL TRADE COMMISSION,2005,2198959.04
208, FEDERAL ELECTION COMMISSION,2004,2300797.89
209," HOMELAND SECURITY, DEPARTMENT OF",2000,2305444.84
210, NATIONAL GALLERY OF ART,2008,2377163.5300000003
211, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2003,2425103.85
212, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2006,2469505.54
213, SELECTIVE SERVICE SYSTEM,2006,2535670.3200000003
214, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2002,2689170.0
215, AGENCY FOR INTERNATIONAL DEVELOPMENT,2003,2699800.0
216, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2001,2718932.3899999997
217, NATIONAL LABOR RELATIONS BOARD,2004,2820936.5900000003
218, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2004,2845542.1399999997
219, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2004,2888087.01
220, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2002,2905000.0
221, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2007,2966286.0199999996
222, NATIONAL ENDOWMENT FOR THE HUMANITIES,2008,3138148.0
223, FEDERAL LABOR RELATIONS AUTHORITY,2009,3193929.42
224, AGENCY FOR INTERNATIONAL DEVELOPMENT,2006,3271806.3699999996
225, INTERNATIONAL TRADE COMMISSION,2005,3389656.8200000003
226, SELECTIVE SERVICE SYSTEM,2009,3392968.83
227, NUCLEAR REGULATORY COMMISSION,2000,3501488.19
228, CONSUMER PRODUCT SAFETY COMMISSION,2008,3532158.7600000002
229, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2002,3566738.4300000006
230, FEDERAL ENERGY REGULATORY COMMISSION,2004,3663631.11
231, MERIT SYSTEMS PROTECTION BOARD,2006,3744899.5200000005
232, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2003,3924123.81
233, PEACE CORPS,2008,3981945.9600000004
234, FEDERAL ENERGY REGULATORY COMMISSION,2001,4058180.0
235," AGRICULTURE, DEPARTMENT OF",2000,4122021.12
236,,2000,4254054.0
237, COMMODITY FUTURES TRADING COMMISSION,2004,4493506.7
238, SECURITIES AND EXCHANGE COMMISSION,2001,4609702.44
239, FEDERAL ELECTION COMMISSION,2005,4609938.709999999
240, NATIONAL ENDOWMENT FOR THE HUMANITIES,2006,4615888.0
241, CONSUMER PRODUCT SAFETY COMMISSION,2005,4669348.029999998
242, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2004,4696527.51
243, FEDERAL ENERGY REGULATORY COMMISSION,2008,4726723.46
244, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2009,4907129.71
245, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2003,4940046.12
246, OFFICE OF PERSONNEL MANAGEMENT,2003,4988719.4399999995
247, OFFICE OF PERSONNEL MANAGEMENT,2001,5000810.0
248, SELECTIVE SERVICE SYSTEM,2007,5046732.550000002
249, NATIONAL ENDOWMENT FOR THE ARTS,2006,5173571.46
250, MERIT SYSTEMS PROTECTION BOARD,2007,5423391.939999999
251, SECURITIES AND EXCHANGE COMMISSION,2003,5457401.649999999
252, NATIONAL ENDOWMENT FOR THE HUMANITIES,2007,5780119.609999999
253, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2001,5807330.59
254, FEDERAL COMMUNICATIONS COMMISSION,2004,5870845.38
255, RAILROAD RETIREMENT BOARD,2004,5896865.880000001
256, NATIONAL TRANSPORTATION SAFETY BOARD,2008,6074927.749999999
257, MERIT SYSTEMS PROTECTION BOARD,2009,6301164.710000002
258, FEDERAL ELECTION COMMISSION,2006,6348612.110000001
259, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2005,6380606.21
260," LABOR, DEPARTMENT OF",2000,6398531.41
261, RAILROAD RETIREMENT BOARD,2005,6418943.220000001
262, BROADCASTING BOARD OF GOVERNORS,2002,6475229.34
263, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2002,6610662.100000001
264, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2008,6780996.919999999
265," LABOR, DEPARTMENT OF",2001,7300654.62
266, BROADCASTING BOARD OF GOVERNORS,2008,7371521.699999999
267, SMALL BUSINESS ADMINISTRATION,2001,7491753.62
268, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2006,7768701.81
269, NATIONAL GALLERY OF ART,2004,8017032.879999999
270, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2008,8134778.08
271, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2004,8371056.090000001
272, CONSUMER PRODUCT SAFETY COMMISSION,2007,8376101.309999994
273, INTERNATIONAL TRADE COMMISSION,2009,8517446.03
274, NATIONAL ENDOWMENT FOR THE HUMANITIES,2009,8990567.0
275, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2006,9379781.060000002
276, EXECUTIVE OFFICE OF THE PRESIDENT,2004,9411849.869999997
277, NATIONAL GALLERY OF ART,2007,9571537.04
278, CONSUMER PRODUCT SAFETY COMMISSION,2004,9597852.91
279," COMMERCE, DEPARTMENT OF",2000,9618054.940000001
280, NATIONAL TRANSPORTATION SAFETY BOARD,2005,9665518.319999998
281, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2007,9790166.99
282, NATIONAL LABOR RELATIONS BOARD,2005,9885593.96
283, NATIONAL GALLERY OF ART,2005,10253560.270000003
284, NATIONAL TRANSPORTATION SAFETY BOARD,2006,10434534.729999995
285," AGRICULTURE, DEPARTMENT OF",2001,11299838.01
286, RAILROAD RETIREMENT BOARD,2006,11584394.879999997
287," EDUCATION, DEPARTMENT OF",2000,11610864.0
288, BROADCASTING BOARD OF GOVERNORS,2003,11760463.5
289, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2008,11840651.73
290, CONSUMER PRODUCT SAFETY COMMISSION,2006,11876936.819999997
291, INTERNATIONAL TRADE COMMISSION,2004,12037054.32
292, GOVERNMENT ACCOUNTABILITY OFFICE,2008,12044806.8
293, SOCIAL SECURITY ADMINISTRATION,2000,12129602.32
294, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2005,12479135.0
295, NATIONAL SCIENCE FOUNDATION,2002,12609397.38
296, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2008,12701359.350000001
297, COMMODITY FUTURES TRADING COMMISSION,2005,12978493.870000001
298, NATIONAL SCIENCE FOUNDATION,2003,13126093.0
299, RAILROAD RETIREMENT BOARD,2007,13337416.019999998
300, NUCLEAR REGULATORY COMMISSION,2002,13569089.980000002
301, NATIONAL TRANSPORTATION SAFETY BOARD,2009,13573240.509999996
302, PEACE CORPS,2005,14434627.889999997
303, RAILROAD RETIREMENT BOARD,2009,14739988.369999995
304, PEACE CORPS,2004,15134705.88
305, EXECUTIVE OFFICE OF THE PRESIDENT,2008,15183700.979999999
306, BROADCASTING BOARD OF GOVERNORS,2004,15349331.290000001
307," INTERIOR, DEPARTMENT OF THE",2000,15538033.28
308, NATIONAL GALLERY OF ART,2006,15608352.049999999
309, MILLENIUM CHALLENGE CORPORATION,2005,15632583.88
310, SMITHSONIAN INSTITUTION,2001,15701903.7
311," HOMELAND SECURITY, DEPARTMENT OF",2001,15781590.989999998
312, SOCIAL SECURITY ADMINISTRATION,2001,15962662.68
313, NATIONAL SCIENCE FOUNDATION,2004,16157454.249999998
314, NUCLEAR REGULATORY COMMISSION,2003,16641864.360000001
315, FEDERAL HOUSING FINANCE AGENCY,2009,16668287.009999998
316, NATIONAL LABOR RELATIONS BOARD,2007,18073193.14
317, SMALL BUSINESS ADMINISTRATION,2008,19098493.469999995
318, EXECUTIVE OFFICE OF THE PRESIDENT,2005,19313029.989999995
319, PEACE CORPS,2006,19464091.040000003
