effective_date,base_and_all_options_value,count
2000-01-31,188.37734,8263
2000-02-29,1.25,8381
2000-03-31,40.41245,9869
2000-04-30,16.05,8595
2000-05-31,5.336,6098
2000-06-30,179.76748,8105
2000-07-31,8.812393499999999,5952
2000-08-31,0.0,5208
2000-09-30,75.86471230000001,10152
2000-10-31,688.1899017999999,7827
2000-11-30,228.86312949999999,5853
2000-12-31,147.96705809999997,6521
2001-01-31,662.6852765000001,7501
2001-02-28,206.2064538,6652
2001-03-31,546.8220908999999,8911
2001-04-30,385.23171560000003,7417
2001-05-31,232.20488440000003,7145
2001-06-30,431.7129037,7623
2001-07-31,482.56810720000004,7350
2001-08-31,463.8577926,8367
2001-09-30,862.6319437999998,17673
2001-10-31,1135.0892125999997,8302
2001-11-30,697.8425567,6211
2001-12-31,616.3633859999999,6302
2002-01-31,955.0988291000002,7123
2002-02-28,772.8740403999999,6562
2002-03-31,1227.123481,8109
2002-04-30,843.9689711999999,7616
2002-05-31,-6009.804624900002,7406
2002-06-30,995.4737723000001,7553
2002-07-31,1100.6464757000003,7641
2002-08-31,1008.8089051999998,8346
2002-09-30,2474.6252335000004,17676
2002-10-31,809.6914568,7364
2002-11-30,721.9672169000002,5388
2002-12-31,1105.0571443999997,7100
2003-01-31,380.8884505,7080
2003-02-28,1300.4593666000005,6834
2003-03-31,977.3595826000002,8706
2003-04-30,1065.2412663,7763
2003-05-31,1373.4893676000006,7019
2003-06-30,1290.2207295000003,8092
2003-07-31,861.1788601999999,7863
2003-08-31,965.8889467000001,8347
2003-09-30,2570.5661151,17312
2003-10-31,5057.719155499991,14080
2003-11-30,1496.7536094999973,5783
2003-12-31,2654.7814424999992,6709
2004-01-31,2244.1344494999994,6014
2004-02-29,2189.5155672000005,7042
2004-03-31,2660.8473526,7757
2004-04-30,2827.4680907000006,7262
2004-05-31,2205.524820299996,6691
2004-06-30,2425.4463714,7392
2004-07-31,6272.7432924999885,7486
2004-08-31,2880.1247818000006,8865
2004-09-30,10106.702381200004,13503
2004-10-31,4072.1484346999987,10480
2004-11-30,1325.2503037000006,5913
2004-12-31,1543.0819956999994,6094
2005-01-31,3037.3003951999913,8597
2005-02-28,1545.600559799999,6840
2005-03-31,2160.0702511000004,8345
2005-04-30,3835.8022482000033,8951
2005-05-31,2458.6301922000016,7281
2005-06-30,2627.0584484999963,7888
2005-07-31,2766.9212798000003,9058
2005-08-31,2031.993804900001,10226
2005-09-30,5192.9647639999985,13742
2005-10-31,5118.563205900002,7894
2005-11-30,1646.2165311000028,4705
2005-12-31,1740.6543074999972,4983
2006-01-31,4461.849312099995,6547
2006-02-28,1560.9613736000022,5528
2006-03-31,1778.1379517000007,6714
2006-04-30,3169.622792400006,9880
2006-05-31,1341.0086520000016,9578
2006-06-30,2284.564093099992,9345
2006-07-31,2860.774471799993,9699
2006-08-31,3579.455403700009,11633
2006-09-30,7514.064887999986,14252
2006-10-31,5202.980663799995,9419
2006-11-30,2750.1405767999977,5962
2006-12-31,3459.4063199,6577
2007-01-31,5762.450031400011,7754
2007-02-28,3906.751131500005,7161
2007-03-31,5337.240249299994,8365
2007-04-30,6456.611136000021,8558
2007-05-31,4220.4974732999935,8192
2007-06-30,4288.289385999999,8054
2007-07-31,7016.33899049999,9332
2007-08-31,5995.091442599995,10169
2007-09-30,11150.745408700008,12330
2007-10-31,7222.140966799984,10029
2007-11-30,2165.1678496,6556
2007-12-31,3512.9205005000063,6370
2008-01-31,4846.267487999989,8629
2008-02-29,2345.4313730999997,7843
2008-03-31,3182.4309821000033,8132
2008-04-30,10946.802003800003,8448
2008-05-31,2634.2220411000017,7305
2008-06-30,3279.1798530000015,7420
2008-07-31,10754.725531199994,8824
2008-08-31,3845.6525856000067,9040
2008-09-30,10613.957548700007,12207
2008-10-31,8083.10532549995,9698
2008-11-30,2416.0730489000007,8202
2008-12-31,2948.8169208999984,7199
2009-01-31,2581.2271107000024,5256
2009-02-28,2160.7771672,5159
2009-03-31,3591.870212299998,7130
2009-04-30,4802.307779799991,9472
2009-05-31,3192.941764000001,4982
2009-06-30,3241.509616799999,5182
2009-07-31,4117.597504599996,5990
2009-08-31,5004.666532399997,8880
2009-09-30,13362.515474099975,18211
2009-10-31,7634.849909399998,8985
2009-11-30,2590.205474100009,6468
2009-12-31,4427.949810300005,6918
2010-01-31,2004.3929575999994,7012
2010-02-28,2096.866156099996,5120
2010-03-31,-5141.980374499974,9275
2010-04-30,6192.413595099997,9848
2010-05-31,6378.293884899986,7724
2010-06-30,-1443.3236156999956,5691
2010-07-31,5592.782368500005,8969
2010-08-31,6497.8283544000105,8128
2010-09-30,9562.866909900038,15827
2010-10-31,6410.477528800023,8539
2010-11-30,2175.7949081999996,6967
2010-12-31,1177.7431073000062,6224
2011-01-31,4520.778046199997,8643
2011-02-28,-7246.484059799972,7675
2011-03-31,4764.9234296999975,7673
2011-04-30,3682.577341300018,6409
2011-05-31,3945.6629959999996,7805
2011-06-30,4434.402434499992,6669
2011-07-31,4847.069599200004,7604
2011-08-31,5854.264967799981,10526
2011-09-30,10572.241633199994,14022
2011-10-31,7455.94588950002,7535
2011-11-30,5356.783361899995,7124
2011-12-31,5028.951644099996,6774
2012-01-31,5710.838281800014,6821
2012-02-29,5675.29220669999,7944
2012-03-31,8487.98361520002,9154
2012-04-30,6642.677014600014,8215
2012-05-31,6288.594496399992,6982
2012-06-30,5878.568441599991,7363
2012-07-31,8139.673184000009,8443
2012-08-31,6800.686355900015,11241
2012-09-30,17802.43151420001,13148
2012-10-31,7116.538507800014,11958
2012-11-30,3356.935526099999,6690
2012-12-31,3374.3912210000076,7073
2013-01-31,3703.3284175999966,8103
2013-02-28,2754.913894700003,5902
2013-03-31,2297.806545600004,6446
2013-04-30,2070.992600699998,5540
2013-05-31,3506.8846888999988,6281
2013-06-30,4096.423142599995,9343
2013-07-31,4983.99219070001,11614
2013-08-31,5790.040521399991,7078
2013-09-30,10585.784728600016,13230
2013-10-31,2746.7090433999992,5449
2013-11-30,2617.374349500002,4662
2013-12-31,2950.048874800001,3546
2014-01-31,3276.962695500005,4682
2014-02-28,4043.4667760999982,4713
2014-03-31,7518.394014899989,14166
2014-04-30,6915.428664700009,9395
2014-05-31,2866.548544900004,4789
2014-06-30,4895.3148680999975,7235
2014-07-31,6818.079822899989,9853
2014-08-31,6514.344848800024,6128
2014-09-30,26207.98866000013,24372
2014-10-31,9704.080557400002,8504
2014-11-30,4183.2306168999985,5591
2014-12-31,6507.717452699994,9804
2015-01-31,6364.0148422000075,7830
2015-02-28,4060.8185073000072,4399
2015-03-31,4375.584922999992,8522
2015-04-30,2287.258033700001,4390
2015-05-31,1447.1487788000038,3448
2015-06-30,3742.827097399987,7828
2015-07-31,4025.8735089000033,10258
2015-08-31,6730.600622599992,13919
2015-09-30,11796.41341860004,15089
2015-10-31,1794.8000736000022,4580
2015-11-30,746.9694547,3518
2015-12-31,936.3699904999999,3947
2016-01-31,-2884.1468434000003,3911
2016-02-29,1687.075728400002,7420
2016-03-31,20676.48643480018,40509
2016-04-30,20788.08299370019,35856
2016-05-31,553.5480520999998,365
2016-06-30,286.4453591999999,116
2016-07-31,168.6114543,57
2016-08-31,60.33846369999999,45
2016-09-30,125.9264616,52
2016-10-31,13.8402795,33
2016-11-30,0.05,2
2016-12-31,0.46835,6
